Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
63,Alabama,Total,"3,081","1,893,731","153,891","170,320",8.1,9
63,Alabama,Private,"2,556","1,582,882","84,488","96,070",5.3,6.1
63,Alabama,Public,525,"310,849","69,404","74,250",22.3,23.9
63,Alabama,Priv. Construction,154,"96,538","10,875","13,146",11.3,13.6
63,Alabama,Priv. Manufacturing,497,"308,202","20,431","21,566",6.6,7
94,Alaska,Total,"1,995","297,008","54,949","58,960",18.5,19.9
94,Alaska,Private,"1,424","214,667","21,188","22,631",9.9,10.5
94,Alaska,Public,571,"82,341","33,761","36,330",41,44.1
94,Alaska,Priv. Construction,117,"18,673","4,960","5,095",26.6,27.3
94,Alaska,Priv. Manufacturing,63,"9,459",122,122,1.3,1.3
86,Arizona,Total,"2,555","2,727,866","121,797","150,556",4.5,5.5
86,Arizona,Private,"2,213","2,355,463","60,138","77,128",2.6,3.3
86,Arizona,Public,342,"372,403","61,659","73,428",16.6,19.7
86,Arizona,Priv. Construction,141,"150,775","10,696","12,049",7.1,8
86,Arizona,Priv. Manufacturing,187,"197,789","4,328","4,328",2.2,2.2
71,Arkansas,Total,"2,785","1,185,496","46,866","59,538",4,5
71,Arkansas,Private,"2,283","978,036","26,797","33,024",2.7,3.4
71,Arkansas,Public,502,"207,460","20,069","26,513",9.7,12.8
71,Arkansas,Priv. Construction,161,"69,123","1,168","1,587",1.7,2.3
71,Arkansas,Priv. Manufacturing,357,"153,190","7,515","8,305",4.9,5.4
93,California,Total,"13,786","16,007,244","2,549,645","2,795,362",15.9,17.5
93,California,Private,"11,597","13,495,085","1,191,465","1,359,390",8.8,10.1
93,California,Public,"2,189","2,512,159","1,358,180","1,435,972",54.1,57.2
93,California,Priv. Construction,720,"857,489","158,006","168,411",18.4,19.6
93,California,Priv. Manufacturing,"1,398","1,629,596","69,383","89,547",4.3,5.5
84,Colorado,Total,"2,073","2,439,938","238,247","263,217",9.8,10.8
84,Colorado,Private,"1,762","2,081,346","143,627","158,053",6.9,7.6
84,Colorado,Public,311,"358,592","94,620","105,164",26.4,29.3
84,Colorado,Priv. Construction,140,"168,308","20,310","21,885",12.1,13
84,Colorado,Priv. Manufacturing,130,"154,297","18,733","18,733",12.1,12.1
16,Connecticut,Total,"1,753","1,568,650","274,782","288,104",17.5,18.4
16,Connecticut,Private,"1,485","1,335,725","118,595","126,529",8.9,9.5
16,Connecticut,Public,268,"232,925","156,188","161,575",67.1,69.4
16,Connecticut,Priv. Construction,77,"71,489","11,364","12,096",15.9,16.9
16,Connecticut,Priv. Manufacturing,224,"199,766","20,137","23,776",10.1,11.9
51,Delaware,Total,"1,943","419,040","47,924","55,682",11.4,13.3
51,Delaware,Private,"1,656","358,743","20,812","27,100",5.8,7.6
51,Delaware,Public,287,"60,297","27,112","28,582",45,47.4
51,Delaware,Priv. Construction,125,"27,061","4,459","5,755",16.5,21.3
51,Delaware,Priv. Manufacturing,163,"33,703","2,919","2,919",8.7,8.7
53,D.C.,Total,"3,282","343,897","32,658","37,079",9.5,10.8
53,D.C.,Private,"2,429","256,672","16,007","17,795",6.2,6.9
53,D.C.,Public,853,"87,225","16,651","19,284",19.1,22.1
53,D.C.,Priv. Construction,64,"6,630",670,670,10.1,10.1
53,D.C.,Priv. Manufacturing,36,"3,825",0,0,0,0
59,Florida,Total,"6,763","8,116,606","456,102","574,112",5.6,7.1
59,Florida,Private,"5,833","7,017,798","177,941","237,889",2.5,3.4
59,Florida,Public,930,"1,098,808","278,160","336,223",25.3,30.6
59,Florida,Priv. Construction,398,"490,105","15,235","18,579",3.1,3.8
59,Florida,Priv. Manufacturing,356,"427,720","13,266","15,503",3.1,3.6
58,Georgia,Total,"3,585","4,250,119","164,360","209,845",3.9,4.9
58,Georgia,Private,"3,063","3,656,172","93,951","117,514",2.6,3.2
58,Georgia,Public,522,"593,947","70,409","92,331",11.9,15.5
58,Georgia,Priv. Construction,201,"248,137","7,597","7,597",3.1,3.1
58,Georgia,Priv. Manufacturing,395,"465,250","14,176","15,015",3,3.2
95,Hawaii,Total,"2,518","597,238","118,271","124,294",19.8,20.8
95,Hawaii,Private,"1,993","475,071","62,803","66,117",13.2,13.9
95,Hawaii,Public,525,"122,167","55,468","58,176",45.4,47.6
95,Hawaii,Priv. Construction,165,"41,226","16,385","17,097",39.7,41.5
95,Hawaii,Priv. Manufacturing,63,"14,800",763,763,5.2,5.2
82,Idaho,Total,"2,613","689,665","42,097","46,544",6.1,6.7
82,Idaho,Private,"2,217","587,590","23,025","24,473",3.9,4.2
82,Idaho,Public,396,"102,075","19,072","22,070",18.7,21.6
82,Idaho,Priv. Construction,150,"39,628","3,512","3,512",8.9,8.9
82,Idaho,Priv. Manufacturing,325,"88,342","8,004","8,215",9.1,9.3
