Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
63,Alabama,Total,"1,678","1,781,885","178,084","192,208",10,10.8
63,Alabama,Private,"1,365","1,461,981","98,677","106,353",6.7,7.3
63,Alabama,Public,313,"319,904","79,407","85,855",24.8,26.8
63,Alabama,Priv. Construction,73,"86,771","8,128","8,128",9.4,9.4
63,Alabama,Priv. Manufacturing,259,"281,115","38,258","38,258",13.6,13.6
94,Alaska,Total,"2,167","305,485","67,572","72,650",22.1,23.8
94,Alaska,Private,"1,579","224,741","24,655","27,417",11,12.2
94,Alaska,Public,588,"80,744","42,916","45,233",53.2,56
94,Alaska,Priv. Construction,122,"18,231","3,883","4,285",21.3,23.5
94,Alaska,Priv. Manufacturing,49,"7,118",818,818,11.5,11.5
86,Arizona,Total,"1,891","2,499,746","149,076","183,163",6,7.3
86,Arizona,Private,"1,584","2,100,125","82,821","98,505",3.9,4.7
86,Arizona,Public,307,"399,622","66,255","84,658",16.6,21.2
86,Arizona,Priv. Construction,103,"139,825","7,282","7,282",5.2,5.2
86,Arizona,Priv. Manufacturing,155,"205,643","5,901","7,314",2.9,3.6
71,Arkansas,Total,"1,635","1,116,844","47,010","57,121",4.2,5.1
71,Arkansas,Private,"1,347","924,451","23,462","30,424",2.5,3.3
71,Arkansas,Public,288,"192,392","23,548","26,697",12.2,13.9
71,Arkansas,Priv. Construction,79,"54,557","3,085","3,085",5.7,5.7
71,Arkansas,Priv. Manufacturing,217,"147,421","9,096","11,863",6.2,8
93,California,Total,"13,100","13,927,053","2,375,553","2,528,485",17.1,18.2
93,California,Private,"10,856","11,583,110","1,041,961","1,120,981",9,9.7
93,California,Public,"2,244","2,343,943","1,333,592","1,407,504",56.9,60
93,California,Priv. Construction,623,"686,035","115,619","124,965",16.9,18.2
93,California,Priv. Manufacturing,"1,418","1,512,810","97,325","100,656",6.4,6.7
84,Colorado,Total,"3,696","2,185,152","179,481","202,764",8.2,9.3
84,Colorado,Private,"3,113","1,846,398","89,912","101,813",4.9,5.5
84,Colorado,Public,583,"338,754","89,569","100,951",26.4,29.8
