Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
63,Alabama,Total,"1,653","1,812,340","166,710","190,422",9.2,10.5
63,Alabama,Private,"1,357","1,489,329","84,458","94,234",5.7,6.3
63,Alabama,Public,296,"323,011","82,252","96,188",25.5,29.8
63,Alabama,Priv. Construction,69,"77,560","5,513","5,513",7.1,7.1
63,Alabama,Priv. Manufacturing,248,"271,286","25,835","27,870",9.5,10.3
94,Alaska,Total,"2,031","298,283","66,754","71,390",22.4,23.9
94,Alaska,Private,"1,466","216,707","22,293","24,308",10.3,11.2
94,Alaska,Public,565,"81,576","44,461","47,081",54.5,57.7
94,Alaska,Priv. Construction,101,"14,486","3,157","3,293",21.8,22.7
94,Alaska,Priv. Manufacturing,45,"7,149",363,739,5.1,10.3
86,Arizona,Total,"1,903","2,433,824","125,557","159,214",5.2,6.5
86,Arizona,Private,"1,617","2,071,503","65,870","76,644",3.2,3.7
86,Arizona,Public,286,"362,321","59,688","82,569",16.5,22.8
86,Arizona,Priv. Construction,85,"110,741","3,029","3,029",2.7,2.7
86,Arizona,Priv. Manufacturing,148,"187,427","9,485","11,749",5.1,6.3
71,Arkansas,Total,"1,655","1,155,140","36,667","42,560",3.2,3.7
71,Arkansas,Private,"1,382","970,988","13,373","16,668",1.4,1.7
71,Arkansas,Public,273,"184,153","23,294","25,892",12.6,14.1
71,Arkansas,Priv. Construction,86,"61,336",640,640,1,1
71,Arkansas,Priv. Manufacturing,208,"152,503","4,435","4,435",2.9,2.9
93,California,Total,"13,437","14,488,778","2,485,040","2,662,082",17.2,18.4
93,California,Private,"11,191","12,100,262","1,082,615","1,166,192",8.9,9.6
93,California,Public,"2,246","2,388,515","1,402,425","1,495,891",58.7,62.6
93,California,Priv. Construction,677,"746,875","119,015","122,449",15.9,16.4
93,California,Priv. Manufacturing,"1,361","1,456,251","74,812","87,516",5.1,6
84,Colorado,Total,"3,731","2,165,891","169,323","190,191",7.8,8.8
84,Colorado,Private,"3,145","1,832,481","89,806","98,182",4.9,5.4
84,Colorado,Public,586,"333,409","79,516","92,009",23.8,27.6
84,Colorado,Priv. Construction,194,"114,604","10,129","10,637",8.8,9.3
84,Colorado,Priv. Manufacturing,325,"188,369","12,518","12,518",6.6,6.6
16,Connecticut,Total,"3,844","1,541,007","216,126","232,104",14,15.1
16,Connecticut,Private,"3,304","1,324,946","87,649","99,281",6.6,7.5
16,Connecticut,Public,540,"216,061","128,478","132,823",59.5,61.5
16,Connecticut,Priv. Construction,148,"58,481","6,688","7,094",11.4,12.1
