Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
63,Alabama,Total,"1,966","1,889,069","203,857","227,707",10.8,12.1
63,Alabama,Private,"1,627","1,578,447","109,340","118,990",6.9,7.5
63,Alabama,Public,339,"310,622","94,517","108,717",30.4,35
63,Alabama,Priv. Construction,105,"108,463","2,158","3,437",2,3.2
63,Alabama,Priv. Manufacturing,307,"292,033","35,185","35,917",12,12.3
94,Alaska,Total,"2,025","307,285","69,949","74,734",22.8,24.3
94,Alaska,Private,"1,438","222,658","24,017","25,875",10.8,11.6
94,Alaska,Public,587,"84,627","45,932","48,859",54.3,57.7
94,Alaska,Priv. Construction,109,"17,417","5,710","5,835",32.8,33.5
94,Alaska,Priv. Manufacturing,37,"6,172","1,128","1,128",18.3,18.3
86,Arizona,Total,"2,116","2,594,000","137,379","172,470",5.3,6.6
86,Arizona,Private,"1,813","2,221,870","68,468","83,591",3.1,3.8
86,Arizona,Public,303,"372,131","68,910","88,879",18.5,23.9
86,Arizona,Priv. Construction,116,"141,828","4,680","5,637",3.3,4
86,Arizona,Priv. Manufacturing,172,"217,324","9,581","10,879",4.4,5
71,Arkansas,Total,"1,914","1,108,001","52,340","60,385",4.7,5.4
71,Arkansas,Private,"1,635","949,141","27,830","33,600",2.9,3.5
71,Arkansas,Public,279,"158,860","24,510","26,785",15.4,16.9
71,Arkansas,Priv. Construction,105,"60,688","1,547","1,547",2.5,2.5
71,Arkansas,Priv. Manufacturing,287,"164,232","5,790","7,502",3.5,4.6
93,California,Total,"13,872","15,134,895","2,468,827","2,648,222",16.3,17.5
93,California,Private,"11,668","12,774,840","1,169,832","1,279,153",9.2,10
93,California,Public,"2,204","2,360,055","1,298,995","1,369,069",55,58
93,California,Priv. Construction,710,"791,563","129,277","135,612",16.3,17.1
93,California,Priv. Manufacturing,"1,422","1,551,734","104,975","112,360",6.8,7.2
84,Colorado,Total,"3,546","2,328,686","220,812","249,696",9.5,10.7
84,Colorado,Private,"2,970","1,945,103","144,663","155,317",7.4,8
84,Colorado,Public,576,"383,583","76,149","94,378",19.9,24.6
84,Colorado,Priv. Construction,228,"158,255","12,530","13,066",7.9,8.3
84,Colorado,Priv. Manufacturing,259,"170,334","20,411","21,558",12,12.7
16,Connecticut,Total,"3,288","1,563,703","231,060","245,075",14.8,15.7
16,Connecticut,Private,"2,809","1,342,114","95,660","103,263",7.1,7.7
16,Connecticut,Public,479,"221,590","135,400","141,811",61.1,64
16,Connecticut,Priv. Construction,139,"63,572","9,684","10,759",15.2,16.9
16,Connecticut,Priv. Manufacturing,394,"181,815","16,665","17,174",9.2,9.4
51,Delaware,Total,"2,473","384,786","37,897","43,242",9.8,11.2
51,Delaware,Private,"2,079","325,767","15,788","19,070",4.8,5.9
51,Delaware,Public,394,"59,019","22,110","24,172",37.5,41
51,Delaware,Priv. Construction,121,"19,421","2,956","3,543",15.2,18.2
51,Delaware,Priv. Manufacturing,214,"32,798","2,940","3,189",9,9.7
53,D.C.,Total,"2,811","324,880","27,998","34,645",8.6,10.7
53,D.C.,Private,"2,054","238,256","12,772","15,667",5.4,6.6
53,D.C.,Public,757,"86,623","15,226","18,978",17.6,21.9
53,D.C.,Priv. Construction,64,"7,525",435,549,5.8,7.3
53,D.C.,Priv. Manufacturing,26,"3,073",158,158,5.2,5.2
59,Florida,Total,"6,408","8,038,996","455,073","560,448",5.7,7
59,Florida,Private,"5,569","7,007,094","178,326","242,344",2.5,3.5
59,Florida,Public,839,"1,031,902","276,746","318,104",26.8,30.8
59,Florida,Priv. Construction,368,"469,364","13,995","15,342",3,3.3
59,Florida,Priv. Manufacturing,311,"389,996","13,381","15,560",3.4,4
58,Georgia,Total,"3,406","3,931,198","169,624","193,056",4.3,4.9
58,Georgia,Private,"2,853","3,308,637","95,360","110,650",2.9,3.3
58,Georgia,Public,553,"622,561","74,264","82,405",11.9,13.2
58,Georgia,Priv. Construction,151,"173,042","12,139","13,366",7,7.7
58,Georgia,Priv. Manufacturing,372,"428,450","15,159","18,518",3.5,4.3
95,Hawaii,Total,"2,561","571,830","124,241","130,812",21.7,22.9
95,Hawaii,Private,"1,991","447,358","61,179","62,887",13.7,14.1
95,Hawaii,Public,570,"124,472","63,062","67,925",50.7,54.6
95,Hawaii,Priv. Construction,137,"31,549","11,937","12,176",37.8,38.6
95,Hawaii,Priv. Manufacturing,61,"14,577","3,072","3,072",21.1,21.1
82,Idaho,Total,"1,923","641,426","33,819","42,802",5.3,6.7
82,Idaho,Private,"1,583","529,032","15,386","18,259",2.9,3.5
82,Idaho,Public,340,"112,394","18,434","24,542",16.4,21.8
82,Idaho,Priv. Construction,104,"35,980","1,897","1,897",5.3,5.3
82,Idaho,Priv. Manufacturing,230,"78,237","4,410","4,665",5.6,6
33,Illinois,Total,"5,259","5,497,222","829,757","879,193",15.1,16
33,Illinois,Private,"4,562","4,774,946","434,908","461,478",9.1,9.7
33,Illinois,Public,697,"722,276","394,848","417,715",54.7,57.8
33,Illinois,Priv. Construction,217,"225,689","83,215","84,217",36.9,37.3
33,Illinois,Priv. Manufacturing,674,"700,043","75,250","81,491",10.7,11.6
32,Indiana,Total,"2,603","2,801,718","298,886","334,948",10.7,12
32,Indiana,Private,"2,294","2,476,876","216,165","237,183",8.7,9.6
32,Indiana,Public,309,"324,842","82,722","97,765",25.5,30.1
32,Indiana,Priv. Construction,136,"148,266","46,549","52,499",31.4,35.4
32,Indiana,Priv. Manufacturing,514,"549,640","93,957","94,875",17.1,17.3
42,Iowa,Total,"3,169","1,458,089","155,938","184,045",10.7,12.6
42,Iowa,Private,"2,653","1,222,228","84,791","92,335",6.9,7.6
42,Iowa,Public,516,"235,862","71,147","91,710",30.2,38.9
42,Iowa,Priv. Construction,150,"69,690","13,557","14,281",19.5,20.5
42,Iowa,Priv. Manufacturing,544,"246,488","40,740","45,002",16.5,18.3
47,Kansas,Total,"2,537","1,288,407","95,168","116,004",7.4,9
47,Kansas,Private,"2,046","1,040,943","52,030","60,470",5,5.8
47,Kansas,Public,491,"247,464","43,137","55,534",17.4,22.4
47,Kansas,Priv. Construction,123,"65,671","10,546","10,546",16.1,16.1
47,Kansas,Priv. Manufacturing,320,"161,067","18,501","21,994",11.5,13.7
61,Kentucky,Total,"2,257","1,715,902","188,726","218,762",11,12.7
