Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
63,Alabama,Total,"2,780","1,863,152","189,834","203,998",10.2,10.9
63,Alabama,Private,"2,292","1,551,204","84,439","89,790",5.4,5.8
63,Alabama,Public,488,"311,947","105,394","114,208",33.8,36.6
63,Alabama,Priv. Construction,140,"97,730","6,630","7,363",6.8,7.5
63,Alabama,Priv. Manufacturing,482,"318,833","24,512","26,396",7.7,8.3
94,Alaska,Total,"2,032","304,538","59,653","65,793",19.6,21.6
94,Alaska,Private,"1,470","221,166","24,815","26,750",11.2,12.1
94,Alaska,Public,562,"83,372","34,838","39,043",41.8,46.8
94,Alaska,Priv. Construction,117,"18,874","5,013","5,202",26.6,27.6
94,Alaska,Priv. Manufacturing,63,"10,124",372,563,3.7,5.6
86,Arizona,Total,"2,442","2,661,422","137,173","162,428",5.2,6.1
86,Arizona,Private,"2,110","2,302,359","75,970","86,271",3.3,3.7
86,Arizona,Public,332,"359,064","61,203","76,158",17,21.2
86,Arizona,Priv. Construction,127,"145,217","9,930","9,930",6.8,6.8
86,Arizona,Priv. Manufacturing,203,"219,885","8,740","9,914",4,4.5
71,Arkansas,Total,"2,559","1,156,533","58,542","74,214",5.1,6.4
71,Arkansas,Private,"2,096","955,568","27,100","35,124",2.8,3.7
71,Arkansas,Public,463,"200,965","31,442","39,090",15.6,19.5
71,Arkansas,Priv. Construction,118,"57,628","1,332","2,202",2.3,3.8
71,Arkansas,Priv. Manufacturing,358,"159,718","7,832","11,660",4.9,7.3
93,California,Total,"13,721","15,662,847","2,486,173","2,688,403",15.9,17.2
93,California,Private,"11,572","13,237,959","1,153,071","1,267,923",8.7,9.6
93,California,Public,"2,149","2,424,888","1,333,102","1,420,481",55,58.6
93,California,Priv. Construction,705,"820,015","148,362","155,871",18.1,19
93,California,Priv. Manufacturing,"1,377","1,566,612","81,037","88,413",5.2,5.6
84,Colorado,Total,"2,432","2,314,303","194,659","215,447",8.4,9.3
84,Colorado,Private,"1,992","1,897,487","123,631","132,652",6.5,7
84,Colorado,Public,440,"416,815","71,028","82,795",17,19.9
84,Colorado,Priv. Construction,168,"165,983","14,239","16,111",8.6,9.7
84,Colorado,Priv. Manufacturing,170,"160,425","11,608","12,762",7.2,8
16,Connecticut,Total,"2,284","1,586,095","268,728","276,580",16.9,17.4
16,Connecticut,Private,"1,908","1,327,744","99,327","106,151",7.5,8
16,Connecticut,Public,376,"258,351","169,401","170,428",65.6,66
16,Connecticut,Priv. Construction,83,"58,401","6,184","6,571",10.6,11.3
16,Connecticut,Priv. Manufacturing,274,"190,969","14,994","15,354",7.9,8
51,Delaware,Total,"2,136","411,439","37,914","42,933",9.2,10.4
51,Delaware,Private,"1,803","348,216","15,827","19,160",4.5,5.5
51,Delaware,Public,333,"63,223","22,088","23,773",34.9,37.6
51,Delaware,Priv. Construction,115,"22,047","1,755","1,755",8,8
51,Delaware,Priv. Manufacturing,174,"32,906","2,734","3,259",8.3,9.9
53,D.C.,Total,"3,101","333,905","34,596","40,337",10.4,12.1
53,D.C.,Private,"2,252","243,829","15,766","18,271",6.5,7.5
53,D.C.,Public,849,"90,076","18,830","22,066",20.9,24.5
